Roster Remarks,Cluster
"domestic duties have become even longer eg DUD ZQN, Double CHC, and duties are signing off more regularly on the same day as the start of another duty.",0
Don’t get trip which I really wanted.,4
Don’t get what I requested at all,0
Don't like 4+ days of 4 sectors in a row. Didn't get the days off I needed,0
Early starts into late finish before days off. A run of duties should not change between early and late.,2
Far too many trips away,4
Flying back to back Phuket makes me stressful. I prefer long trip and stying out port 10-14 days please.,0
Four sectors are all lumped together and then I switch to earlies,1
Giving me 3 AVLs before my 3weeks leave is cruel :(,0
Going from afternoons to mornings to BOC how can one not be fatigued with this kind of rostering,2
Going from mornings to BOC then back to mornings and afternoons. How fatiguing.,2
Good 2(+) day spacing between duties,0
"Good spread of work , would like more than one day off between trips.",4
Got no work??,2
Happy for one way JQ90 should be rostered this WAY always should  not be a return !!!,0
happy with day off requests,0
"Have been bidding for a Singapore trip for months, as well as DPS and other trips",4
Hello Fatigue - goodbye rest. My October roster was a dream compared to this. Swapping has improved it somewhat.,0
HNL,0
Horrible. Did not receive any of my bids yet again. Very upset.,3
I always wanted to go to Japan as it is my only destination that I wanted to go and I always keep bidding for it but I never got it at all.,4
I am a morning person and I do not appreciate being placed on later shifts as a full timer. It is not healthy or safe to be changing anyone that is on mornings to lates. This is the one thing I bit for and I find it very upsetting I can’t have that,0
I am an AM 5-8 or 9-12 start I got THREE BOC. I WILL NOT DO BOC I cannot sleep during day I cannot stay awake all night I am not safe to operate that is why I would never bid for them I know my limitations. Morning or afternoons only.,2
I am earlies preferred and have been given late shifts and a BOC coverage which I will be called out for. Also 7 AVL,2
I am n international crew and being rostered huge sectors of domestic,1
"I am unhappy with the constant changes from morning, afternoon, back to morning, afternoon shifts",1
I am usually rostered earlies and for all arvo and lates,1
I ask for trips,4
"I asked for ONE day off as my highest preference, and instead of it, l was given the following two days off. Really?!",0
"I bid for a specific trip out of Sydney , JQ141 and did not receive any.",1
"I bid for AM shifts, and got PM shifts, I bid for single day trips, I got overnight trips",1
I bid for lates and I continually get rostered mornings (8 in fact).  I also only got 1 requested day off for the month and it is my highest bid,1
"I bid for mornings, and all I got was 1 morning stby",2
I bid for NO overnights and have 11 nights away!!! Explain how that works,1
I did not even get any 9 days trip.,0
I did not get any trips when I bid for layovers. What’s the point in bidding for trips when I’m trips preferred and I don’t even get my preferences,4
I didn’t get that many shifts,0
I didn’t get what I asked for.,0
i didnt even get 1 of my bidded destination or go to one destination with my buddy,0
I don’t bid for lates or 4 sectors. 50% lates and 4 sectors!,1
I don’t have any trip that I requested,0
I go from BOCs to 5am sign ons multiple times,0
I got mostly domestic flights. Would appreciate a few Tasman flights,2
"I got no shifts for the month of November, I’m from 5/2 casual ground school and have wanted full time, since staring, but since I’ve started lots of full time gs have come thru without any offerings for existing staff for full time work.",4
I got several late duties and overnights when I bid for early. Also late standby when requesting early,2
I got zero requests,2
I have leave so that helps  Some late shifts that I only ask for early morning sign on s,2
I have not been rostered any duties the past 4 months,0
I like that my roster has no paxing after duty.,0
I prefer long day off or slip day in between like other crew base.,0
I request late starts. I have morning shifts. I also request shifts that finish before 12am to avoid BOC. I got 2 rostered plus avl for BOC so potential for 2 BOC in a row. High risk for fatigue and my safety,2
I requested a range of days off and I was given two of those requests . Every weekend and single days odd,0
I still have paxing after flight which is exhausting and tiring. Do better,0
I want a long trip. Like we used to have it and not a 2 days or 3 days trip and back home on repeat mode. 10 or 12 days then off,0
I was rostered afternoons and bocs that I don't ask for.,0
I was rostered zero shifts even though I nominated to work.,0
I would love to try other destination because this november all i got is only MEL flight,2
"I’m a mum, with requests in. I’m working 5am-3pm most shifts. Which are not my requests.",0
I'm early preferred and I was only allocated 1 early duty and the rest lates. My highest priority is Pairing of total length 1 days which should lessen my chance of being rostered a Boc but still been rostered a Boc.,2
I'm on annual leave for the majority of the month.,4
Incorrectly rostered without mandatory 7 days free of duty whilst on Flexiline. How does this even happen???,0
"It was getting better, now I have a 6 day trip I didn’t ask for.",0
It’s deflating to see and fatiguing to manage when there’s no routine even when only having 3 bids for types of duties. Extremely disappointing,3
its good for crew rest. theres still paxing after work but theres improvemnet,0
its probably the worst roster I've received in a while especially being part time,0
its so hard to work some days in morning n then some days in the noon. There should be uniformity.,0
Japanese speaker did not roster to Japan at all,0
"JBID doesn't do anything for me, always 0 0 0 0 0 roster achievement, very very disappointing.",0
JBid is useless.,0
Just so many Bali's when not bidding for them. No work life balance,0
Keep getting earlies,0
Lack of duties,0
"Lates into earlys, fatiguing, poorly structured. Minimal rest",0
Less day off between the trips or during the trips,4
Literally got zero shifts apart from EPs,2
Lots of early to late transitions,2
Lots of late duties which I do not bid for,2
Mainly leave but still not one bid granted,1
"Many early to lates and lates to early transition, single days off, too many avls and of a mix of time.",2
Morning preferred and rostered mixture of earlies going into lates with single day offs.,1
Mornings one week to afternoons than to mornings and than back to afternoons affects the sleep schedule,2
Mostly 4 sectors backed up in a row or AVL/ big duties like AKL and BOCs. Not spread out or split up nicely.,0
Mostly mornings and trips away,4
My highest bid was for trips and I did not get a single one.,1
My preference is late but I have got early and BOC??  A lot of crew who prefer early got late ??,2
My roster is basically sin-mel-sin or sin-per-sin. I wont earn enough from a roster like this. How am i suppose to survive in Sin like this. Not even layovers in SGN or NRT or KIX or ICN. My roster has been like this for 4 or 5 months???,0
Never been so disappointed. Late s instead of earlies.,2
No duties received.,0
"No requested bids, no blocks of off days, min rest duties",3
No requests,0
"No shifts at all, not happy.",0
No variety. No DPS and too many AKL. Need to bring back the option of max number of times a bid is successful,0
Not at all!,0
Not bad… no swapping from lates to early shifts,2
Not enough shifts,0
Not flying in my home base,0
not getting bids,3
Not getting days off wanted. Not getting the type of flying I bid for.,0
"Not getting shift bids, FWs causing unfair roster.",3
Not happy,0
Not many hours,0
Not satisfied as I wanted trips and only got 3 trips for the month.,4
Not satisfied. Too inefficient even for flexi. Makes swapping shifts to make up for the poor rostering almost impossible.,0
Not very it’s all over the shops very fatiguing roster between early plates and BOCs,2
Not what I bid for,1
Nothing come up on my request trips,4
November roster does not match biddings,0
Off days are too short with avl between off,0
On leave,0
"Only 1 787 flight. Domestic CMs get more trip than I do and I am an international crew. All the other LFs have 0-1 AVL, I have 4. Financially challenging and really unfair.",0
"Only 1 duty met my bid parameters, the rest were the complete opposite.",1
Only ask for sign off times and still get split days with a boc,0
Only bidded for 2 days off & rostered to work both. It looks very spiteful as 1 of those days I have days off either side.,0
Only had one bid and didnt even get it,1
"Overall the duties given were ideal, however only getting 5 duties in a month of full availability is extremely disappointing",0
Pax flight to cns x3,0
Poor bid satisfaction.,1
"Received 4 BOCS that I didn’t request and all on weekends, part time and hardly getting weekday shifts, roster is all over the place",0
"Requested AM 2 sectors and got lots 4 sector afternoons, a BOC and a BOC standby.",2
Requested KIX flight the most but only one I have,0
roster has no variations for the last 3 months. doing short turn affect salary and livelihoods as it does not pay bills.,0
Roster is not diversity.,0
Roster not consistent with bids,3
"Rostered 6 days in a row, including 3 earlys a BOC and finishing with a 4 sector late duty. Not sure how it fits in with fatigue management.",2
Same old same,0
Seems silly rostering Adhoc CM’s 10 AVL’s when those AVL’s should be rostered to Permanent Part timers who request the work.  This is simply unfair and not looking after permanent CM’s.,0
Seems to be getting worse.,0
"Since March my roster has been amazing, but this month is completely off.",4
"Single day off after a BOC, then on to an early the next day. Single day off between 2x4 day trips, where I targeted single duty days this month.",4
"Single days off, long duties after trips",4
Single off,0
So many duties past midnight and in a row making it’s so hard to even swap shifts,0
Still getting lates that I never bid for,1
Structure? I didn't get enough shifts to pay rent,0
"Terrible, standby before Sim. Single Days off, no trip requests granted that I was wanting. 1 month of duties in 20 days, poorly executed roster.",0
The month of October was better but i did bid for trips for this month and didn’t get any,4
The roster format is not easy to read. The lay out should be as easy to read as the pairing reports. Easy to locate fly hours for day and also our daily duties hours should be visible for each day.  Keeping this hidden from crew is sneaky.,0
"The trip is too long until 12 days, it's to tiring and prone to fatigue.",0
There is a mixture of earlies and lates and BOC in the same week.,2
"There is pattern per - sin - dps - bne, which is can possibly lead to fatigue",0
"This arranged roster will lead to fatigue issue as you planned the minimum rest in each day. Some days are the day rest, which is difficult to manage proper sleep. Pease do not roster paxing flight before or after duty as it will disrupt next duty.",0
This rosters pairings looks to be extremely fatiguing.,0
"Thought JBID was getting better, I was wrong back to square 1. Not getting what you ask for",0
"too many 4 sectors, only half a BOC",1
Too many AVL for this month.,4
Too many AVL’s,0
Too many consecutive days of standby,0
"Too many long 10+ hour days, looks fatiguing",0
Too many long shifts in. Row.,0
Too many paxing flights after landing,0
Too many short trips,4
Totally dissatisfied. Received none of my bids and have received shifts completely opposite to what I bid for. I big for morning two sectors and have received all trips and late 4 sectors.,1
"totally insane, I’ll make a report about this",0
"Totally opposite to what I bid for! Morning shifts with NO overnights. My roster for this month is ALL trips away, afternoon shifts and only 1 flight out of my actual base. Could not be more dissatisfied!",1
Training planning is good. Rostering avls in the AM is not. There is nothing plenty of am crew that can be used for that coverage. My pm avl preference has been ignored.,0
Trgs take half of the mth,0
Two 5day trips while FTCL,4
Two thirds of my roster is lates when I have a preference for earlies.,2
Unmet bids,3
Unreasonable parings,0
"Very busy first 2 weeks and a lot of days off the second 2 weeks, the workload could be more even and spread out. Fatigue: 2 X 4 sector days at the end of a run of 5 days & Perth duties now begin with a SYD return.",0
Very little shifts once again given,0
Wanted mornings as priority,4
Why are we still doing tag flights? They are very much fatigue inducing.,0
"Worst roster I've had in years. Want early day trips, got 4 trips and only 3 earlies.",4
